Tweet Date,Display Name,User Name,Tweet URL,Media Type,Media URL,Saved Filename,Tweet Content,Favorite Count,Retweet Count,Reply Count
2024/8/21 5:15,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1826005128836464643/photo/1,Image,https://pbs.twimg.com/media/GVdF-GLX0AAEVjC.jpg,2024-08-21 05-15-img_689.jpg,"This November, we will come together and declare with one voice, as one people: we are moving forward. https://t.co/Zeqyqe55qc",23103,4251,4260
2024/8/21 3:19,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1825975928964448349/photo/1,Image,https://pbs.twimg.com/media/GVcracUXwAEo-aj.jpg,2024-08-21 03-19-img_693.jpg,"Now is the time to chart a new way forward—to build an America where everyone's work is rewarded and talents are valued, where we work with labor and business to strengthen the American economy, and where everyone has the opportunity to thrive. https://t.co/DSmSwSDqLr",8996,1872,2379
2024/8/21 3:19,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1825975928964448349/photo/1,Image,https://pbs.twimg.com/media/GVcrZNuXYAEaFqp.jpg,2024-08-21 03-19-img_692.jpg,"Now is the time to chart a new way forward—to build an America where everyone's work is rewarded and talents are valued, where we work with labor and business to strengthen the American economy, and where everyone has the opportunity to thrive. https://t.co/DSmSwSDqLr",8996,1872,2379
2024/8/20 23:10,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1825913257082646582/video/1,Video,https://video.twimg.com/amplify_video/1825913192670789632/vid/avc1/1080x1920/0u6iXSuERX7rYtAK.mp4?tag=16,2024-08-20 23-10-vid_694.mp4,I am grateful to have the support of my friend Jerome Bettis. You might know him by his nickname…The Bus. https://t.co/mCZoSPglYK,21711,3556,2928
2024/8/20 22:10,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1825898196624658702/video/1,Video,https://video.twimg.com/amplify_video/1825898090282323968/vid/avc1/1080x1920/24-QzOMGVKeVLxxM.mp4?tag=16,2024-08-20 22-10-vid_695.mp4,"Let us fight for the ideals we hold dear. 

And let us always remember—when we fight, we win. https://t.co/Nk6uc9EYVJ",15894,3559,4369
2024/8/20 3:16,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1825612786832945451/photo/1,Image,https://pbs.twimg.com/media/GVXhFIYWAAAvmH_.jpg,2024-08-20 03-16-img_697.jpg,"We had a great time on our bus tour through Western Pennsylvania yesterday. 

Next stop: the Democratic National Convention. https://t.co/i3ACUSrOUg",15859,2607,2145
2024/8/20 3:16,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1825612786832945451/photo/1,Image,https://pbs.twimg.com/media/GVXhGV2XIAAVIV9.jpg,2024-08-20 03-16-img_698.jpg,"We had a great time on our bus tour through Western Pennsylvania yesterday. 

Next stop: the Democratic National Convention. https://t.co/i3ACUSrOUg",15859,2607,2145
2024/8/20 10:40,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1825724522844062193/video/1,Video,https://video.twimg.com/amplify_video/1825724437003382785/vid/avc1/1080x1920/UQPCDLZ2O3ljo28l.mp4?tag=16,2024-08-20 10-40-vid_696.mp4,"Thank you, @JoeBiden, for your historic leadership and for all you continue to do. 

We are forever grateful. https://t.co/vrQSnBVTWv",37919,6969,4748
2024/8/19 10:35,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1825360874522947804/photo/1,Image,https://pbs.twimg.com/media/GVT7959XgAAnoo5.jpg,2024-08-19 10-35-img_701.jpg,"Today, we met with high school students, first responders, and volunteers across Pennsylvania. 

It couldn’t have been a better day. https://t.co/Bp8qRNdRxw",21823,3753,2875
2024/8/20 3:16,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1825612786832945451/photo/1,Image,https://pbs.twimg.com/media/GVXhHkGW4AAwPdZ.jpg,2024-08-20 03-16-img_699.jpg,"We had a great time on our bus tour through Western Pennsylvania yesterday. 

Next stop: the Democratic National Convention. https://t.co/i3ACUSrOUg",15859,2607,2145
2024/8/19 10:35,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1825360874522947804/photo/1,Image,https://pbs.twimg.com/media/GVT8AVpWEAAgN-Y.jpg,2024-08-19 10-35-img_703.jpg,"Today, we met with high school students, first responders, and volunteers across Pennsylvania. 

It couldn’t have been a better day. https://t.co/Bp8qRNdRxw",21823,3753,2875
2024/8/20 3:16,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1825612786832945451/photo/1,Image,https://pbs.twimg.com/media/GVXhIyRWQAEj349.jpg,2024-08-20 03-16-img_700.jpg,"We had a great time on our bus tour through Western Pennsylvania yesterday. 

Next stop: the Democratic National Convention. https://t.co/i3ACUSrOUg",15859,2607,2145
2024/8/19 10:35,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1825360874522947804/photo/1,Image,https://pbs.twimg.com/media/GVT7_HbW8AAAMIn.jpg,2024-08-19 10-35-img_702.jpg,"Today, we met with high school students, first responders, and volunteers across Pennsylvania. 

It couldn’t have been a better day. https://t.co/Bp8qRNdRxw",21823,3753,2875
2024/8/18 2:09,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1824871128071876802/video/1,Video,https://video.twimg.com/amplify_video/1824871063882190848/vid/avc1/1080x1080/NxbrJM9V7ogYrN_N.mp4?tag=16,2024-08-18 02-09-vid_710.mp4,"Donald Trump fights for billionaires and large corporations.

I will fight to give money back to working and middle-class Americans. https://t.co/xjjsfN1Fo4",24960,6089,7825
